"nK","AIC"
2,1195919.94076907
3,1136497.79998369
4,889780.528120517
5,818181.176849005
6,757968.725523952
7,736953.267901727
8,706927.850782823
9,668126.062730383
10,593797.583182239
11,579409.864009792
12,528030.561902996
13,523765.496842968
14,516439.948047494
15,499998.418627075
16,487154.427695732
17,483441.903289453
18,477813.662814961
19,474939.41323814
20,472456.863325184
21,447181.010991711
22,438764.877737276
23,428440.731661324
24,424765.72445068
25,415317.693509326
26,412894.377204268
27,407938.276346654
28,406922.954972316
29,404174.530873334
30,404136.317355316
31,405259.710020161
32,400380.583811879
33,400321.413686084
34,399356.834475331
35,394214.944708273
36,391872.77492035
37,387897.37737411
38,387134.202020646
39,386389.411600102
40,385457.930237118
41,384187.364935747
42,384443.888265704
43,385114.388341651
44,385443.92493188
45,383670.696073215
46,383351.784583249
47,380131.416039779
48,383127.226741486
49,385097.957468497
50,385247.182005739
51,385546.864473441
52,381437.449133939
53,381488.850290073
54,381545.23465874
55,382134.931910441
56,382405.739262624
57,382515.027362785
58,384027.74776502
59,385137.24442717
60,387052.343365666
61,388450.909401586
62,387315.836966555
63,388097.94654161
64,388526.337960967
65,389422.074829199
66,389776.870555353
67,389959.966175404
68,391083.750267591
69,392358.714263914
70,392549.790123057
71,393720.928049611
72,395562.172501027
73,396415.606948862
74,398185.566858888
75,398863.601177881
76,399389.174381311
77,398385.659130945
78,399257.946736263
79,398350.449222474
80,398492.531061756
81,398990.702172122
82,400291.712523765
83,401671.865785483
84,402513.078069873
85,402434.962675462
86,404464.880395475
87,405679.147947628
88,407003.601042998
89,407555.465173192
90,409379.530971567
91,410611.676140094
92,411128.168179399
93,412727.154666214
94,414025.605031549
95,415615.630803666
96,417331.332836642
97,418149.321656555
98,419628.226699414
99,420386.960450476
100,422077.879130861
