"k1","k2","distance"
22,30,977.951271365209
19,44,1290.5120809691
4,33,1053.58557914655
34,36,1370.00513144373
9,28,1500.82136586904
17,46,1534.54388409014
31,40,1374.09037938575
1,41,1633.63485868805
16,24,1761.63401340423
32,34,2088.94704503829
32,38,2022.1365328002
37,45,2214.29933357845
27,42,895.738769967473
5,39,1309.10715408881
1,19,2325.66666487449
31,37,2674.50058396103
9,16,2715.74902653285
5,47,2970.38501599306
21,23,2989.64479685434
26,43,3151.29013260151
22,29,3396.60102695538
14,35,3440.55495354774
8,32,3445.50598751689
5,13,3504.71381007022
6,27,3517.07706305891
10,18,3777.29279726302
20,26,3864.61293432971
8,17,3890.36109786121
25,31,4234.03513236958
1,14,5064.85636045971
7,22,5342.3519326693
8,12,6198.28351624362
1,11,8046.85541789342
8,15,8964.82671574438
21,25,9018.03123140847
4,7,10284.1859490296
2,5,14453.8534812914
20,21,14646.5383509496
3,9,16182.814636552
8,10,25671.3025760602
3,20,27190.2362293374
1,6,32151.8136209688
3,8,55164.9864484703
1,3,62750.1100780636
1,2,106160.375198563
1,4,136561.37617612
1,1,1
